device,subset_id,qubits,N,lambda2,C,edges_count,avg_degree,diameter,depths,shots,alpha,alpha_err,epc,epc_err,success_probs,task_ids,timestamp,status
Ankaa-3,0,"(0, 7, 8, 14, 15, 16, 21, 22, 28, 29, 35)",11,0.1799223654625569,1.979146020088126,13,2.3636363636363638,5,"[5, 10, 20, 30]",500,0.9999980094091545,5025339.045821255,1.990590845490914e-06,5025339.045821255,"[0.694, 0.744, 0.73, 0.722]",,2025-12-18T15:53:23.364686,ok
Ankaa-3,1,"(57, 63, 64, 65, 70, 71, 72, 73, 77, 78, 79)",11,0.3300496948573112,3.6305466434304234,14,2.5454545454545454,4,"[5, 10, 20, 30]",500,0.6242265168902994,0.2030230739690874,0.3757734831097006,0.2030230739690874,"[0.524, 0.494, 0.494, 0.488]",,2025-12-18T15:53:34.410154,ok
Ankaa-3,2,"(12, 13, 18, 19, 20, 24, 25, 26, 27, 32, 33)",11,0.21129469940151335,2.324241693416647,14,2.5454545454545454,5,"[5, 10, 20, 30]",500,0.7415090010073879,0.6634282442788186,0.2584909989926121,0.6634282442788186,"[0.892, 0.886, 0.878, 0.888]",,2025-12-18T15:53:44.943613,ok
Ankaa-3,3,"(56, 63, 64, 65, 70, 71, 72, 77, 78, 79, 80)",11,0.2546440075000701,2.801084082500771,14,2.5454545454545454,6,"[5, 10, 20, 30]",500,0.9956751920364504,0.07228983539711488,0.004324807963549615,0.07228983539711488,"[0.4, 0.39, 0.382, 0.356]",,2025-12-18T15:53:53.812078,ok
Ankaa-3,4,"(22, 28, 29, 30, 35, 36, 37, 38, 43, 44, 50)",11,0.24326863831309084,2.675955021443999,12,2.1818181818181817,4,"[5, 10, 20, 30]",500,0.9452051733778878,0.07371939776004992,0.054794826622112214,0.07371939776004992,"[0.722, 0.718, 0.7, 0.698]",,2025-12-18T15:54:05.916638,ok
Ankaa-3,5,"(1, 2, 3, 4, 5, 8, 9, 10, 11, 16, 17)",11,0.22232884748766918,2.445617322364361,14,2.5454545454545454,5,"[5, 10, 20, 30]",500,0.48907110234614964,8.10943617980069,0.5109288976538504,8.10943617980069,"[0.74, 0.69, 0.688, 0.754]",,2025-12-18T15:54:17.481491,ok
Ankaa-3,6,"(61, 66, 67, 68, 69, 73, 74, 75, 76, 80, 81)",11,0.14827952663430619,1.6310747929773681,13,2.3636363636363638,5,"[5, 10, 20, 30]",500,0.8940560122508993,0.7660242012130637,0.10594398774910074,0.7660242012130637,"[0.524, 0.548, 0.462, 0.524]",,2025-12-18T15:54:26.662460,ok
Ankaa-3,7,"(4, 5, 6, 10, 11, 12, 13, 18, 19, 20, 26)",11,0.33004969485731134,3.6305466434304248,14,2.5454545454545454,4,"[5, 10, 20, 30]",500,0.8580450170730227,0.27915468097618773,0.14195498292697728,0.27915468097618773,"[0.884, 0.87, 0.818, 0.85]",,2025-12-18T15:54:37.479730,ok
Ankaa-3,8,"(32, 38, 39, 40, 45, 46, 47, 52, 53, 54, 60)",11,0.2928932188134524,3.2218254069479766,14,2.5454545454545454,4,"[5, 10, 20, 30]",500,0.0004070999338346565,0.0,0.9995929000661653,0.0,"[0.56, 0.584, 0.628, 0.606]",,2025-12-18T15:54:48.737901,ok
Ankaa-3,9,"(40, 46, 47, 52, 53, 54, 55, 60, 61, 62, 68)",11,0.2547382250747554,2.8021204758223095,13,2.3636363636363638,4,"[5, 10, 20, 30]",500,0.0049199132108697086,0.0,0.9950800867891303,0.0,"[0.498, 0.476, 0.528, 0.516]",,2025-12-18T15:54:57.129099,ok
Ankaa-3,10,"(19, 25, 26, 27, 32, 33, 34, 39, 40, 41, 47)",11,0.21564026580543919,2.372042923859831,13,2.3636363636363638,4,"[5, 10, 20, 30]",500,0.9992622131132505,0.2805965825078881,0.0007377868867495252,0.2805965825078881,"[0.832, 0.842, 0.834, 0.82]",,2025-12-18T15:55:06.923083,ok
Ankaa-3,11,"(53, 59, 60, 61, 67, 68, 69, 73, 74, 75, 81)",11,0.20943058495790495,2.3037364345369546,12,2.1818181818181817,4,"[5, 10, 20, 30]",500,0.4453800991722473,12.198053966529098,0.5546199008277527,12.198053966529098,"[0.416, 0.386, 0.382, 0.426]",,2025-12-18T15:55:17.701868,ok
Ankaa-3,12,"(37, 43, 44, 45, 49, 50, 51, 52, 53, 57, 58)",11,0.1741657938897713,1.9158237327874843,12,2.1818181818181817,4,"[5, 10, 20, 30]",500,0.4401099089136395,2.6586957197480103,0.5598900910863605,2.6586957197480103,"[0.722, 0.7, 0.708, 0.708]",,2025-12-18T15:55:26.836322,ok
Ankaa-3,13,"(44, 50, 51, 52, 57, 58, 59, 60, 65, 66, 72)",11,0.2547382250747547,2.8021204758223015,13,2.3636363636363638,4,"[5, 10, 20, 30]",500,0.3032280661166811,509.65172245790063,0.6967719338833189,509.65172245790063,"[0.42, 0.402, 0.396, 0.454]",,2025-12-18T15:55:38.248868,ok
Ankaa-3,14,"(5, 6, 11, 12, 13, 18, 19, 20, 25, 26, 27)",11,0.24484143669598515,2.6932558036558367,15,2.727272727272727,5,"[5, 10, 20, 30]",500,0.9999903908994223,10130683.956601413,9.60910057767883e-06,10130683.956601413,"[0.79, 0.848, 0.846, 0.814]",,2025-12-18T15:55:48.273499,ok
