family,N_requested,N_used,lambda2_mean,lambda2_std,C_mean,C_std,M_eff_mean,M_eff_std,alpha_hat_local_mean,alpha_hat_local_std,alpha_hat_global_mean,alpha_hat_global_std
ring,32,32,0.019214719596769302,1.0622968402425925e-16,0.6148710270966177,3.399349888776296e-15,2.1815991228247835,5.874748045952207e-16,0.013900684260958168,5.383613798522714e-05,0.020288629130080747,0.0001207817843129547
ring,64,64,0.019214719596769715,3.061676362909256e-16,1.2297420541932618,1.9594728722619238e-14,2.2461581711547907,2.4120218025558894e-15,0.02741574810314732,0.0002840642113041665,0.034189235481391626,0.00037652791853685095
ring,128,128,0.004815273327803174,1.7539911650468703e-16,0.6163549859588062,2.245108691259994e-14,2.1817326908261445,1.9860273225978185e-15,0.05520676736763418,0.001014617065567909,0.05718757934385836,0.0007251980711923291
ring,256,256,0.0012045437948276345,1.2582179057685026e-16,0.3083632114758744,3.221037838767367e-14,2.155997302447498,2.5510982866352577e-15,0.11900168032892082,0.005055784837680438,0.10744055466781903,0.005206567746072006
ring,512,512,0.00030118130379574597,6.826348600633683e-17,0.15420482754342194,3.4950904835244456e-14,2.1445084974389776,2.401779625492033e-15,0.44241467487754155,0.000995222351972016,0.4427131199648338,0.001855581070404326
random_regular_4,32,32,0.28418894356279945,0.028889550795545744,9.094046194009582,0.9244656254574638,9.853272744042226,2.1668045059046355,0.014309906253961086,0.00014772024397643525,0.4820148179298386,0.013252088042111858
random_regular_4,64,64,0.17722135811943926,0.03193988192734404,11.342166919644113,2.0441524433500184,14.96944063500681,4.54658702118663,0.02853460746151462,0.00028673462007029586,0.42991245479079543,0.04292773432871396
random_regular_4,128,128,0.1569900004598294,0.0142699969987845,20.09472005885816,1.826559615844416,21.834878845785248,0.1090095450917563,0.0568929572222458,0.0005539206103599417,0.39912967712133446,0.03583052589510142
random_regular_4,256,256,0.1457795362336393,0.010702137829892287,37.31956127581166,2.7397472844524255,21.9999480191552,7.767318772948449e-05,0.17974008452770335,0.15057063143447053,0.3964294415509363,0.03165861007329843
random_regular_4,512,512,0.14247239869787914,0.004211221378096017,72.94586813331412,2.156145345585161,21.999999999999254,9.986886054102508e-13,0.45411348369968324,0.028121308525979938,0.3723347683210464,0.0024878612431088994
small_world,32,32,0.1358361242126243,0.022731013023716336,4.346755974803978,0.7273924167589227,3.1679976236472567,0.39535227247443666,0.014059182232797621,0.0002829222113117654,0.08090727066694031,0.022219929621013046
small_world,64,64,0.07946313910618637,0.00906093760090047,5.0856409027959275,0.5799000064576301,3.6196866879832847,0.4321910243049067,0.028045761203274476,0.0005560201407049068,0.07222345971062553,0.010406433739573041
small_world,128,128,0.04402366137463185,0.01166687187900309,5.635028655952877,1.4933596005123955,4.335308776839108,1.3080852459085541,0.055343339288915626,0.0007584350011978065,0.08589300014294285,0.015267029380463915
small_world,256,256,0.05246469186400943,0.005758221820164439,13.430961117186413,1.4741047859620964,18.609184413640655,1.4777161895197728,0.11080574060287514,0.008028935450396802,0.4511311801587805,0.022928979673641485
small_world,512,512,0.045236914112107854,0.005566539727432673,23.16130002539922,2.8500683404455285,21.955020744638244,0.03247662733252028,0.4686071976140623,0.03306327050089515,0.4827365690056332,0.0031259173732599305
erdos_renyi,32,32,0.2599003935529675,0.04786554450282346,8.080619304348835,1.6594259090070356,7.944300458914545,3.447237634233308,0.01295696084852414,0.0002581269842187366,0.37755038249016953,0.14935868313387754
erdos_renyi,64,64,0.19030499039342846,0.02754843464524241,11.900815456960805,1.6675794138459932,16.0629535551992,3.611401595015457,0.0254941291992839,0.0009675492491799359,0.42597889445927734,0.04261252096551042
erdos_renyi,128,128,0.1524991571754436,0.0180258839587948,19.06409349667828,2.2938918381238667,21.6549151284593,0.35196430214132496,0.05108427363032987,0.0007537040683735848,0.41595233219472066,0.047575478880677695
erdos_renyi,256,256,0.1381040576329044,0.028128565751549237,34.74258437121108,7.032819942055376,21.99851028543485,0.0026118999279113124,0.10190061169748903,0.0025396242280831434,0.41533259781821663,0.04899667918686259
erdos_renyi,512,512,0.12936167707874527,0.015272116025788561,64.94225631334456,7.710526639553893,21.999999999365553,1.344385915932184e-09,0.44405208909533644,0.0009390859812262462,0.3789266627549251,0.005017528797540035
grid,32,36,0.0872306839343299,3.364469237210526e-16,3.1403046216358756,1.2129408840653311e-14,2.62751121632887,3.600958362654362e-15,0.016145447880259556,0.00025646879209522766,0.05101543060927005,0.0006070315440892616
grid,64,64,0.0990311320975806,2.3946725056702417e-16,6.337992454245159,1.5325904036289547e-14,4.762374773572655,1.805538061306333e-14,0.02907527293167273,0.00012516322267818478,0.09983920530567633,0.0015380505957609328
grid,128,121,0.04894348370484635,2.1055284350339153e-16,5.922161528286409,2.5250679726393166e-14,4.3035365627346565,2.5959284048005818e-14,0.05447336936866663,0.0003520442181929926,0.08359545331855514,0.001425773148137167
grid,256,256,0.02185239926619431,1.8878223371858428e-16,5.594214212145744,4.8328251831957576e-14,3.9898201384639846,4.3332276303608995e-14,0.12124067858118666,0.0064656045816506545,0.24761801454024263,0.1833983140812228
grid,512,529,0.010178558119067474,4.304867562617219e-16,5.384457244986693,2.2779222592787294e-13,3.8096276153862076,1.8737091598326706e-13,0.45374931700988447,0.02737316900081587,0.45317897389177153,0.0269248090179986
